Nombre_empresa,Apellido,conteo
AD RETAIL S.A.,ALVAREZ,1
AD RETAIL S.A.,BARBIERI,1
AD RETAIL S.A.,CARRERE,1
AD RETAIL S.A.,ESTEFAN,1
AD RETAIL S.A.,GONZALEZ,1
AD RETAIL S.A.,GUARDIOLA,1
AD RETAIL S.A.,GUERRERO,1
AD RETAIL S.A.,HANCKES,1
AD RETAIL S.A.,MUNIZAGA,1
AD RETAIL S.A.,NEELY,1
AD RETAIL S.A.,NEGRI,2
AD RETAIL S.A.,PIRIZ,1
AD RETAIL S.A.,PONCE,1
AD RETAIL S.A.,SANCHEZ,1
AD RETAIL S.A.,SANTA CRUZ,3
AD RETAIL S.A.,SIMONETTI,1
AD RETAIL S.A.,SOLARI,1
AD RETAIL S.A.,TURNER,1
AD RETAIL S.A.,VERGARA,1
ADMINISTRADORA DE FONDOS DE PENSIONES CAPITAL S.A.,ACUNA,1
ADMINISTRADORA DE FONDOS DE PENSIONES CAPITAL S.A.,AHRENS,1
ADMINISTRADORA DE FONDOS DE PENSIONES CAPITAL S.A.,ANINAT,1
ADMINISTRADORA DE FONDOS DE PENSIONES CAPITAL S.A.,CAMPOS,1
ADMINISTRADORA DE FONDOS DE PENSIONES CAPITAL S.A.,CASTRO,1
ADMINISTRADORA DE FONDOS DE PENSIONES CAPITAL S.A.,CHOMALI,1
ADMINISTRADORA DE FONDOS DE PENSIONES CAPITAL S.A.,CINCINNATI,1
ADMINISTRADORA DE FONDOS DE PENSIONES CAPITAL S.A.,CONCHA,1
ADMINISTRADORA DE FONDOS DE PENSIONES CAPITAL S.A.,EBENSPERGER,1
ADMINISTRADORA DE FONDOS DE PENSIONES CAPITAL S.A.,ELUCHANS,1
ADMINISTRADORA DE FONDOS DE PENSIONES CAPITAL S.A.,ERRAZURIZ,1
ADMINISTRADORA DE FONDOS DE PENSIONES CAPITAL S.A.,GONZALEZ,1
ADMINISTRADORA DE FONDOS DE PENSIONES CAPITAL S.A.,JOBET,1
ADMINISTRADORA DE FONDOS DE PENSIONES CAPITAL S.A.,KAISER,1
ADMINISTRADORA DE FONDOS DE PENSIONES CAPITAL S.A.,MAGRI,1
ADMINISTRADORA DE FONDOS DE PENSIONES CAPITAL S.A.,MATTHIAS,1
ADMINISTRADORA DE FONDOS DE PENSIONES CAPITAL S.A.,MERTZ,1
ADMINISTRADORA DE FONDOS DE PENSIONES CAPITAL S.A.,MOSQUERA,1
ADMINISTRADORA DE FONDOS DE PENSIONES CAPITAL S.A.,QUINONES,1
ADMINISTRADORA DE FONDOS DE PENSIONES CAPITAL S.A.,RAMOS,1
ADMINISTRADORA DE FONDOS DE PENSIONES CAPITAL S.A.,RESTREPO,1
ADMINISTRADORA DE FONDOS DE PENSIONES CAPITAL S.A.,ROBAYO,1
ADMINISTRADORA DE FONDOS DE PENSIONES CAPITAL S.A.,ROGGEN,1
ADMINISTRADORA DE FONDOS DE PENSIONES CAPITAL S.A.,SAHLI,1
ADMINISTRADORA DE FONDOS DE PENSIONES CAPITAL S.A.,SALAZAR,1
ADMINISTRADORA DE FONDOS DE PENSIONES CAPITAL S.A.,SKARMETA,1
ADMINISTRADORA DE FONDOS DE PENSIONES CAPITAL S.A.,VILDOSOLA,1
ADMINISTRADORA DE FONDOS DE PENSIONES CAPITAL S.A.,ZAVALA,1
ADMINISTRADORA DE FONDOS DE PENSIONES CUPRUM S.A.,ALONSO,1
ADMINISTRADORA DE FONDOS DE PENSIONES CUPRUM S.A.,ANDUEZA,1
ADMINISTRADORA DE FONDOS DE PENSIONES CUPRUM S.A.,ATRIA,1
ADMINISTRADORA DE FONDOS DE PENSIONES CUPRUM S.A.,BALMACEDA,1
ADMINISTRADORA DE FONDOS DE PENSIONES CUPRUM S.A.,BARROS,1
ADMINISTRADORA DE FONDOS DE PENSIONES CUPRUM S.A.,BERGOEING,1
ADMINISTRADORA DE FONDOS DE PENSIONES CUPRUM S.A.,BIRKE,1
ADMINISTRADORA DE FONDOS DE PENSIONES CUPRUM S.A.,CARRIL,1
ADMINISTRADORA DE FONDOS DE PENSIONES CUPRUM S.A.,GANA,1
ADMINISTRADORA DE FONDOS DE PENSIONES CUPRUM S.A.,GARRIDO,1
ADMINISTRADORA DE FONDOS DE PENSIONES CUPRUM S.A.,HAHN,1
ADMINISTRADORA DE FONDOS DE PENSIONES CUPRUM S.A.,Hernandez,1
ADMINISTRADORA DE FONDOS DE PENSIONES CUPRUM S.A.,Hevia,1
ADMINISTRADORA DE FONDOS DE PENSIONES CUPRUM S.A.,INFANTE,3
ADMINISTRADORA DE FONDOS DE PENSIONES CUPRUM S.A.,JABLONSKI,1
ADMINISTRADORA DE FONDOS DE PENSIONES CUPRUM S.A.,LAVADOS,1
ADMINISTRADORA DE FONDOS DE PENSIONES CUPRUM S.A.,MAHNS,1
ADMINISTRADORA DE FONDOS DE PENSIONES CUPRUM S.A.,MONTES,1
ADMINISTRADORA DE FONDOS DE PENSIONES CUPRUM S.A.,MUJICA,1
ADMINISTRADORA DE FONDOS DE PENSIONES CUPRUM S.A.,MUNOZ,1
ADMINISTRADORA DE FONDOS DE PENSIONES CUPRUM S.A.,PALMA,1
ADMINISTRADORA DE FONDOS DE PENSIONES CUPRUM S.A.,PENCO,1
ADMINISTRADORA DE FONDOS DE PENSIONES CUPRUM S.A.,PFISTER,1
ADMINISTRADORA DE FONDOS DE PENSIONES CUPRUM S.A.,RIVERA,1
ADMINISTRADORA DE FONDOS DE PENSIONES CUPRUM S.A.,ROSS,1
ADMINISTRADORA DE FONDOS DE PENSIONES CUPRUM S.A.,ROTMAN,1
ADMINISTRADORA DE FONDOS DE PENSIONES CUPRUM S.A.,SCHILLHORN,1
ADMINISTRADORA DE FONDOS DE PENSIONES CUPRUM S.A.,URZUA,1
ADMINISTRADORA DE FONDOS DE PENSIONES CUPRUM S.A.,VELA,1
ADMINISTRADORA DE FONDOS DE PENSIONES HABITAT S.A.,ALLENDES,1
ADMINISTRADORA DE FONDOS DE PENSIONES HABITAT S.A.,ALZERRECA,1
ADMINISTRADORA DE FONDOS DE PENSIONES HABITAT S.A.,BARROS,2
ADMINISTRADORA DE FONDOS DE PENSIONES HABITAT S.A.,BENAVIDES,1
ADMINISTRADORA DE FONDOS DE PENSIONES HABITAT S.A.,BRAVO,1
ADMINISTRADORA DE FONDOS DE PENSIONES HABITAT S.A.,CASTRO,1
ADMINISTRADORA DE FONDOS DE PENSIONES HABITAT S.A.,CAVADA,1
ADMINISTRADORA DE FONDOS DE PENSIONES HABITAT S.A.,COOPER,2
ADMINISTRADORA DE FONDOS DE PENSIONES HABITAT S.A.,CORREA,1
ADMINISTRADORA DE FONDOS DE PENSIONES HABITAT S.A.,CRUZAT,1
ADMINISTRADORA DE FONDOS DE PENSIONES HABITAT S.A.,DANUS,1
ADMINISTRADORA DE FONDOS DE PENSIONES HABITAT S.A.,DIEZ DE SOLLANO,1
ADMINISTRADORA DE FONDOS DE PENSIONES HABITAT S.A.,DUNKER,1
ADMINISTRADORA DE FONDOS DE PENSIONES HABITAT S.A.,ECHAVARRI,1
