Nombre,Nombre_empresa,Nombres,Primer_apellido,Segundo_apellido
LUIS ORVANANOS LASCURAIN,"CORPORACION GEO, S.A.B. DE C.V.",LUIS,ORVANANOS,LASCURAIN
EMILIO CUENCA FRIEDERICHSEN,"CORPORACION GEO, S.A.B. DE C.V.",EMILIO,CUENCA,FRIEDERICHSEN
ROBERTO ORVANANOS CONDE,"CORPORACION GEO, S.A.B. DE C.V.",ROBERTO,ORVANANOS,CONDE
INIGO ORVANANOS CORCUERA,"CORPORACION GEO, S.A.B. DE C.V.",INIGO,ORVANANOS,CORCUERA
RAUL ZORRILLA COSIO,"CORPORACION GEO, S.A.B. DE C.V.",RAUL,ZORRILLA,COSIO
LUIS IGNACIO ADJELJALEK MARTINEZ,"CORPORACION GEO, S.A.B. DE C.V.",LUIS IGNACIO,ADJELJALEK,MARTINEZ
ANDRES CAIRE OBREGON,"CORPORACION GEO, S.A.B. DE C.V.",ANDRES,CAIRE,OBREGON
GABRIEL GOMEZ CASTANARES,"CORPORACION GEO, S.A.B. DE C.V.",GABRIEL,GOMEZ,CASTANARES
FRANCISCO GIL DIAZ,"CORPORACION GEO, S.A.B. DE C.V.",FRANCISCO,GIL,DIAZ
JOSE CARRAL ESCALANTE,"CORPORACION GEO, S.A.B. DE C.V.",JOSE,CARRAL,ESCALANTE
TOMAS LOZANO MOLINA,"CORPORACION GEO, S.A.B. DE C.V.",TOMAS,LOZANO,MOLINA
ALBERTO GUILLERMO SAAVEDRA OLAVARRIETA,"CORPORACION GEO, S.A.B. DE C.V.",ALBERTO GUILLERMO,SAAVEDRA,OLAVARRIETA
ALVARO GASCA NERI,"CORPORACION GEO, S.A.B. DE C.V.",ALVARO,GASCA,NERI
MANUEL WEINBERG LOPEZ,"CORPORACION GEO, S.A.B. DE C.V.",MANUEL,WEINBERG,LOPEZ
ROBERTO ALCANTARA ROJAS,"CORPORACION GEO, S.A.B. DE C.V.",ROBERTO,ALCANTARA,ROJAS
JUAN PABLO ROSAS PEREZ,"CORPORACION GEO, S.A.B. DE C.V.",JUAN PABLO,ROSAS,PEREZ
LLOYD BLANKFEIN ,"THE GOLDMAN SACHS GROUP, INC.",LLOYD,BLANKFEIN,
MICHELE BURNS ,"THE GOLDMAN SACHS GROUP, INC.",MICHELE,BURNS,
GARY COHN ,"THE GOLDMAN SACHS GROUP, INC.",GARY,COHN,
CLAES DAHLBACK ,"THE GOLDMAN SACHS GROUP, INC.",CLAES,DAHLBACK,
WILLIAM GEORGE ,"THE GOLDMAN SACHS GROUP, INC.",WILLIAM GEORGE,,
JAMES JOHNSON ,"THE GOLDMAN SACHS GROUP, INC.",JAMES,JOHNSON,
LAKSHMI MITTAL ,"THE GOLDMAN SACHS GROUP, INC.",LAKSHMI,MITTAL,
ADEBAYO OGUNLESI ,"THE GOLDMAN SACHS GROUP, INC.",ADEBAYO,OGUNLESI,
PETER OPPENHEIMER ,"THE GOLDMAN SACHS GROUP, INC.",PETER,OPPENHEIMER,
JAMES SCHIRO ,"THE GOLDMAN SACHS GROUP, INC.",JAMES,SCHIRO,
DEBORA SPAR ,"THE GOLDMAN SACHS GROUP, INC.",DEBORA,SPAR,
MARK TUCKER ,"THE GOLDMAN SACHS GROUP, INC.",MARK,TUCKER,
DAVID VINIAR ,"THE GOLDMAN SACHS GROUP, INC.",DAVID,VINIAR,
ARMANDO VALDIVIESO MONTES,EMPRESA DE CORREOS DE CHILE,ARMANDO,VALDIVIESO,MONTES
LYSETTE HENRIQUEZ AMESTOY,EMPRESA DE CORREOS DE CHILE,LYSETTE,HENRIQUEZ,AMESTOY
MARIA SUSANA CAREY CLARO,EMPRESA DE CORREOS DE CHILE,MARIA SUSANA,CAREY,CLARO
PATRICIO FRANCISCO ARRAU PONS,EMPRESA DE CORREOS DE CHILE,PATRICIO FRANCISCO,ARRAU,PONS
CAROLINA DEL PILAR BUSTOS RUBIO,EMPRESA DE CORREOS DE CHILE,CAROLINA DEL PILAR,BUSTOS,RUBIO
CRISTIAN PALMA ARANCIBIA,EMPRESA DE CORREOS DE CHILE,CRISTIAN,PALMA,ARANCIBIA
ANDRES PALMA IRARRAZABAL,EMPRESA DE CORREOS DE CHILE,ANDRES,PALMA,IRARRAZABAL
JORGE ALEJANDRO ALVAREZ ARAVENA,EMPRESA DE CORREOS DE CHILE,JORGE ALEJANDRO,ALVAREZ,ARAVENA
CAROLINA IRENE ETEROVIC SUDY,EMPRESA DE CORREOS DE CHILE,CAROLINA IRENE,ETEROVIC,SUDY
EUGENIO RODOLFO PIES FUENZALIDA,EMPRESA DE CORREOS DE CHILE,EUGENIO RODOLFO,PIES,FUENZALIDA
