Nombre_empresa,Apellido,conteo
AD RETAIL S.A.,SANTA CRUZ,3
ADMINISTRADORA DE FONDOS DE PENSIONES CUPRUM S.A.,INFANTE,3
ADMINISTRADORA DE FONDOS DE PENSIONES HABITAT S.A.,BARROS,2
ADMINISTRADORA DE FONDOS DE PENSIONES HABITAT S.A.,JARAMILLO,2
ADMINISTRADORA DE FONDOS DE PENSIONES HABITAT S.A.,PRIETO,2
ADMINISTRADORA DE FONDOS DE PENSIONES HABITAT S.A.,RODRIGUEZ,3
ADMINISTRADORA DE FONDOS DE PENSIONES HABITAT S.A.,VALDES,2
ADMINISTRADORA DE FONDOS DE PENSIONES MODELO S.A.,NAVARRO,2
ADMINISTRADORA DE FONDOS DE PENSIONES PLANVITAL S.A.,PIZARRO,2
ADMINISTRADORA DE FONDOS DE PENSIONES PROVIDA S.A.,CAREY,2
ADMINISTRADORA GENERAL DE FONDOS SECURITY S.A.,SILVA,2
ADMINISTRADORA GENERAL DE FONDOS VISION ADVISORS S.A.,GUZMAN,3
AES GENER S.A.,CAMUS,2
AGRICOLA NACIONAL S.A.C. E I.,GUZMAN,2
AGROSUPER S.A.,CONCHA,2
AGROSUPER S.A.,GUZMAN,2
AGROSUPER S.A.,VIAL,6
AGUAS ANDINAS S.A.,CUNEO,2
AGUAS ANDINAS S.A.,ROJAS,2
AGUAS ANDINAS S.A.,VILLARINO,2
ALTAMAR S.A. ADMINISTRADORA GENERAL DE FONDOS,UNDURRAGA,2
ANDACOR S.A.,GAZITUA,2
ANTARCHILE S.A.,LYON,2
ASSET ADMINISTRADORA GENERAL DE FONDOS S.A.,COVARRUBIAS,2
AUTOMOVILISMO Y TURISMO S.A.,CAMUS,2
AVLA CORREDORES DE BOLSA DE PRODUCTOS S.A.,BRAVO,2
AVLA S.A.,ALAMOS,2
AVLA S.A.,CHADWICK,2
AVLA S.A.,ROJAS,2
AXXION S.A.,HELLER,2
AXXION S.A.,SOLARI,3
AZUL AZUL S.A.,HELLER,2
BANCHILE ADMINISTRADORA GENERAL DE FONDOS S.A.,ERGAS,4
BANCHILE ADMINISTRADORA GENERAL DE FONDOS S.A.,TAGLE,2
BANCHILE SECURITIZADORA S.A.,GARCIA,2
BANCOESTADO S.A. ADMINISTRADORA GENERAL DE FONDOS,GONZALEZ,4
BANCOESTADO S.A. ADMINISTRADORA GENERAL DE FONDOS,VERGARA,2
BANCOESTADO S.A. CORREDORES DE BOLSA,JIMENEZ,2
BANMEDICA S.A.,BRAVO,2
BANMEDICA S.A.,DELANO,2
BANMEDICA S.A.,MACAULIFFE,2
BANVIDA S.A.,FERNANDEZ,2
BANVIDA S.A.,GARCES,2
BANVIDA S.A.,MACAULIFFE,2
BANVIDA S.A.,SILVA,3
BESALCO S.A.,BEZANILLA,3
BESALCO S.A.,CAMUS,2
BESALCO S.A.,SAAVEDRA,2
BICECORP S.A.,LARRAIN,2
BLANCO Y NEGRO S.A.,CORREA,2
BLANCO Y NEGRO S.A.,MORALES,2
BLUMAR S.A.,SAID,2
BLUMAR S.A.,SANTA CRUZ,2
"BOLSA DE COMERCIO DE SANTIAGO, BOLSA DE VALORES",CAMUS,2
"BOLSA DE COMERCIO DE SANTIAGO, BOLSA DE VALORES",LARRAIN,4
"BOLSA DE COMERCIO DE SANTIAGO, BOLSA DE VALORES",VIAL,2
"BOLSA DE PRODUC. DE CHILE, BOLSA DE PROD. AGROPECUARIOS S.A.",BARROS,2
"BOLSA DE PRODUC. DE CHILE, BOLSA DE PROD. AGROPECUARIOS S.A.",RODRIGUEZ,2
BTG PACTUAL CHILE S.A. ADMINISTRADORA DE FONDOS DE INVERSION DE CAPITAL EXTRANJERO,CAMUS,2
BTG PACTUAL CHILE S.A. ADMINISTRADORA GENERAL DE FONDOS,CAMUS,2
BTG PACTUAL CHILE S.A. ADMINISTRADORA GENERAL DE FONDOS,HERRERA,2
BTG PACTUAL CHILE S.A. ADMINISTRADORA GENERAL DE FONDOS,MONTERO,2
BTG PACTUAL CHILE S.A. ADMINISTRADORA GENERAL DE FONDOS,PEREZ,2
BTG PACTUAL CHILE S.A. CORREDORES DE BOLSA,VIAL,2
BUPA CHILE S.A.,MUNOZ,2
CAJA DE COMPENSACION DE ASIGNACION FAMILIAR 18 DE SEPTIEMBRE,VIAL,2
CAJA DE COMPENSACION DE ASIGNACION FAMILIAR DE LOS ANDES,DIAZ,2
CAJA DE COMPENSACION DE ASIGNACION FAMILIAR DE LOS ANDES,PEREIRA,2
CAJA DE COMPENSACION DE ASIGNACION FAMILIAR LA ARAUCANA,MORENO,2
CAJA DE COMPENSACION DE ASIGNACION FAMILIAR LA ARAUCANA,PEREZ,4
CAJA DE COMPENSACION DE ASIGNACION FAMILIAR LA ARAUCANA,SANHUEZA,2
CAJA DE COMPENSACION DE ASIGNACION FAMILIAR LOS HEROES,RIVEROS,2
CAMANCHACA S.A.,FERNANDEZ,2
CAMPOS DEPORTIVOS LLACOLEN S.A.,ARRIAGADA,2
CAMPOS DEPORTIVOS LLACOLEN S.A.,PEREIRA,2
CAPITAL ADVISORS ADMINISTRADORA GENERAL DE FONDOS S.A.,GAZMURI,2
CAPITALES S.A.,CRUZAT,2
CAPITALES S.A.,VALDES,2
"CCLV, CONTRAPARTE CENTRAL S.A.",CAMUS,2
"CCLV, CONTRAPARTE CENTRAL S.A.",LARRAIN,4
"CCLV, CONTRAPARTE CENTRAL S.A.",VIAL,2
CEM S.A.,GARCIA,2
CEMENTO POLPAICO S.A.,CRUZ,2
CEMENTO POLPAICO S.A.,DIAZ,2
CEMENTO POLPAICO S.A.,EDWARDS,2
CEMENTO POLPAICO S.A.,HURTADO,3
CEMENTO POLPAICO S.A.,IZQUIERDO,2
CEMENTO POLPAICO S.A.,JORDAN,2
CEMENTO POLPAICO S.A.,MARIN,2
CEMENTO POLPAICO S.A.,MORENO,2
CEMENTO POLPAICO S.A.,PEREZ,2
CEMENTO POLPAICO S.A.,SALINAS,2
CEMENTO POLPAICO S.A.,SILVA,3
CEMENTOS BIO BIO S.A.,ROZAS,2
CENCOSUD S.A.,PEREZ,2
CENCOSUD SHOPPING S.A.,FERNANDEZ,2
CGE GAS NATURAL S.A.,ALVAREZ,2
CGE GAS NATURAL S.A.,FERNANDEZ,2
CGE GAS NATURAL S.A.,GARCIA,2
CHILE MARKET CORREDORES DE BOLSA SPA,RUBIO,3
CHILQUINTA ENERGIA S.A.,GONZALEZ,2
CIMENTA S.A. ADMINISTRADORA GENERAL DE FONDOS,CORREA,2
CIMENTA S.A. ADMINISTRADORA GENERAL DE FONDOS,MUNOZ,2
CLINICA LAS CONDES S.A.,GIL,3
CLINICA LAS CONDES S.A.,GOMEZ,2
CLINICA LAS CONDES S.A.,URETA,2
CLINICA LAS CONDES S.A.,VIAL,2
CLUB DE DEPORTES VALLE ESCONDIDO S.A.,MARTINEZ,2
CLUB DE DEPORTES VALLE ESCONDIDO S.A.,PLAZA,2
CLUB DE GOLF HUINGANAL SOCIEDAD ANONIMA,ELGUETA,2
CLUB DE GOLF HUINGANAL SOCIEDAD ANONIMA,FIGUEROA,2
CLUB DE GOLF HUINGANAL SOCIEDAD ANONIMA,LOPEZ,2
CLUB DEPORTIVO PALESTINO SADP,SABAG,2
CLUB HIPICO DE CONCEPCION S.A.,ALVAREZ,2
CLUB HIPICO DE CONCEPCION S.A.,RIOS,3
CLUB HIPICO DE CONCEPCION S.A.,SANCHEZ,3
CLUB HIPICO DE PEÑUELAS S.A.,FERNANDEZ,2
COCA COLA EMBONOR S.A.,GARCIAHUIDOBRO,3
COCA COLA EMBONOR S.A.,VIAL,3
COCA COLA EMBONOR S.A.,VICUNA,3
COLBUN S.A.,CORREA,2
COLBUN S.A.,GARCIA,2
COLBUN S.A.,LARRAIN,4
COLEGIO BRITANICO ST. MARGARET,GONZALEZ,2
"COMDER, CONTRAPARTE CENTRAL S.A.",FUENZALIDA,2
COMPAÑIA CERVECERIAS UNIDAS S.A.,CRAIG,3
COMPAÑIA CERVECERIAS UNIDAS S.A.,LUKSIC,3
COMPAÑIA DE INVERSIONES LA ESPAÑOLA S.A.,DOMINGUEZ,4
COMPAÑIA DE INVERSIONES LA ESPAÑOLA S.A.,GARCIA,7
COMPAÑIA ELECTRICA DEL LITORAL S.A.,COX,2
COMPAÑIA ELECTRICA DEL LITORAL S.A.,GARCIA,3
COMPAÑIA ELECTRICA DEL LITORAL S.A.,REYES,2
COMPAÑIA ELECTRICA DEL LITORAL S.A.,TAPIA,2
COMPAÑIA ELECTRICA DEL LITORAL S.A.,VERGARA,2
COMPAÑIA ELECTRICA DEL LITORAL S.A.,VIAL,2
COMPAÑIA ELECTRO METALURGICA S.A.,FIGUEROA,2
COMPAÑIA ELECTRO METALURGICA S.A.,GARCIA,2
COMPAÑIA ELECTRO METALURGICA S.A.,SWETT,2
COMPAÑIA GENERAL DE ELECTRICIDAD S.A.,GARCIA,2
COMPAÑIA GENERAL DE ELECTRICIDAD S.A.,SANCHEZ,2
COMPAÑIA INDUSTRIAL EL VOLCAN S.A.,GREZ,2
COMPAÑIA INDUSTRIAL EL VOLCAN S.A.,LARRAIN,5
COMPAÑIA INDUSTRIAL EL VOLCAN S.A.,LOPEZ,2
COMPAÑIA INDUSTRIAL EL VOLCAN S.A.,MATTE,4
COMPAÑIA INDUSTRIAL EL VOLCAN S.A.,VIAL,3
COMPAÑIA SUD AMERICANA DE VAPORES S.A.,ALVAREZ,2
COMPAÑIA SUD AMERICANA DE VAPORES S.A.,CAMUS,2
COMPAÑIA SUD AMERICANA DE VAPORES S.A.,CLARO,2
COMPAÑIA SUD AMERICANA DE VAPORES S.A.,CRAIG,2
COMPAÑIA SUD AMERICANA DE VAPORES S.A.,LUKSIC,2
COMPAÑIA SUD AMERICANA DE VAPORES S.A.,PEREZ,2
COMPAÑIA SUD AMERICANA DE VAPORES S.A.,VALDES,2
COMPAÑIAS CIC S.A.,CLARO,2
COMPAÑIAS CIC S.A.,VIAL,3
CONSORCIO FINANCIERO S.A.,BILBAO,2
CONSORCIO FINANCIERO S.A.,BUC,2
CONSORCIO FINANCIERO S.A.,BUCHI,2
CONSORCIO FINANCIERO S.A.,FERNANDEZ,2
CONSORCIO FINANCIERO S.A.,HURTADO,2
CONSORCIO FINANCIERO S.A.,MACAULIFFE,2
CONSORCIO FINANCIERO S.A.,VICUNA,2
CONTEMPORA CORREDORES DE BOLSA DE PRODUCTOS S.A.,SILVA,5
CORPORACION UNIVERSIDAD DE CONCEPCION,ORTIZ,2
CORPORACION UNIVERSIDAD DE CONCEPCION,SAAVEDRA,2
CORREDORES DE BOLSA SURA S.A.,CAMPOS,2
CREDICORP CAPITAL ASSET MANAGEMENT S.A. ADMINISTRADORA GENERAL DE FONDOS,BRAUN,2
CREDICORP CAPITAL S.A. CORREDORES DE BOLSA,NAVARRETE,2
CREDICORP CAPITAL S.A. CORREDORES DE BOLSA,OLIVARES,2
CRISTALERIAS DE CHILE S.A.,FIGUEROA,2
CRISTALERIAS DE CHILE S.A.,GARCIA,2
CRISTALERIAS DE CHILE S.A.,SANCHEZ,2
CRISTALERIAS DE CHILE S.A.,SWETT,2
CRUZADOS S.A.D.P.,DEL RIO,2
CURAUMA S.A.,CRUZAT,3
CURAUMA S.A.,VALDES,3
DEPOSITO CENTRAL DE VALORES S.A. DEPOSITO DE VALORES,CAMUS,2
DEPOSITO CENTRAL DE VALORES S.A. DEPOSITO DE VALORES,VALDES,2
DUNCAN FOX S.A.,LECAROS,4
DUNCAN FOX S.A.,MENENDEZ,4
"ECHEVERRIA, IZQUIERDO S.A.",ECHEVERRIA,2
"ECHEVERRIA, IZQUIERDO S.A.",VIAL,2
ECONSULT ADMINISTRADORA GENERAL DE FONDOS S.A.,ECHEVERRIA,2
ECUS ADMINISTRADORA GENERAL DE FONDOS S.A.,GUZMAN,2
EDUCADORA SAN AGUSTIN DE MELIPILLA SOCIEDAD ANONIMA,HERRERA,2
EDUCADORA SAN AGUSTIN DE MELIPILLA SOCIEDAD ANONIMA,MORENO,2
EDUCADORA SAN AGUSTIN DE MELIPILLA SOCIEDAD ANONIMA,PLAZA,2
ELECTRICA PUNTILLA S.A.,LARRAIN,2
ELECTRICA PUNTILLA S.A.,VALDES,2
ELOY CORREDORES DE BOLSA DE PRODUCTOS S.A.,CARMONA,2
EMBOTELLADORA ANDINA S.A.,ROSSI,2
EMBOTELLADORA ANDINA S.A.,VERGARA,2
EMPRESA CONSTRUCTORA MOLLER Y PEREZ-COTAPOS S.A.,CONCHA,2
EMPRESA CONSTRUCTORA MOLLER Y PEREZ-COTAPOS S.A.,URETA,2
EMPRESA DE CORREOS DE CHILE,PALMA,2
EMPRESA DE LOS FERROCARRILES DEL ESTADO,CRUZ,2
EMPRESA DE LOS FERROCARRILES DEL ESTADO,DOMINGUEZ,2
EMPRESA DE LOS FERROCARRILES DEL ESTADO,GUZMAN,2
EMPRESA DE LOS FERROCARRILES DEL ESTADO,SILVA,2
EMPRESA DE LOS FERROCARRILES DEL ESTADO,VALENZUELA,2
EMPRESA DE SERVICIOS SANITARIOS DE LOS LAGOS S.A.,FERNANDEZ,2
EMPRESA DE SERVICIOS SANITARIOS DE LOS LAGOS S.A.,GUZMAN,3
EMPRESA DE SERVICIOS SANITARIOS DE LOS LAGOS S.A.,HERRERA,2
EMPRESA DE SERVICIOS SANITARIOS DE LOS LAGOS S.A.,LARRAIN,3
EMPRESA DE SERVICIOS SANITARIOS DE LOS LAGOS S.A.,RODRIGUEZ,2
EMPRESA DE SERVICIOS SANITARIOS DE LOS LAGOS S.A.,VILLARINO,2
EMPRESA DE SERVICIOS SANITARIOS LAGO PEÑUELAS S.A.,CAMUS,2
EMPRESA DE SERVICIOS SANITARIOS LAGO PEÑUELAS S.A.,SANDOVAL,2
EMPRESA DE TRANSPORTE DE PASAJEROS METRO S.A.,CONCHA,2
EMPRESA DE TRANSPORTE DE PASAJEROS METRO S.A.,DIAZ,2
EMPRESA DE TRANSPORTE DE PASAJEROS METRO S.A.,MUNOZ,2
EMPRESA ELECTRICA DE MAGALLANES S.A.,CORREA,2
EMPRESA NACIONAL DEL PETROLEO,PEREZ,2
EMPRESA PESQUERA EPERVA S.A.,LYON,2
EMPRESAS AQUACHILE S.A.,ACUNA,2
EMPRESAS AQUACHILE S.A.,CONCHA,2
EMPRESAS AQUACHILE S.A.,FISCHER,2
EMPRESAS AQUACHILE S.A.,GUZMAN,2
EMPRESAS AQUACHILE S.A.,PEREZ,2
EMPRESAS AQUACHILE S.A.,VIAL,4
EMPRESAS CABO DE HORNOS S.A.,GARCIA,3
EMPRESAS CABO DE HORNOS S.A.,GARDEWEG,2
EMPRESAS CMPC S.A.,GONZALEZ,2
EMPRESAS CMPC S.A.,LARRAIN,4
EMPRESAS CMPC S.A.,MATTE,2
EMPRESAS GASCO S.A.,ALVAREZ,3
EMPRESAS GASCO S.A.,CRUZ,2
EMPRESAS GASCO S.A.,FERNANDEZ,2
EMPRESAS GASCO S.A.,MARIN,2
EMPRESAS GASCO S.A.,PEREZ,2
EMPRESAS HITES S.A.,VALDES,2
EMPRESAS IANSA S.A.,VARELA,2
EMPRESAS JUAN YARUR SPA,REY,2
EMPRESAS JUAN YARUR SPA,YARUR,4
EMPRESAS LA POLAR S.A.,GUZMAN,2
EMPRESAS LA POLAR S.A.,SANCHEZ,3
EMPRESAS LA POLAR S.A.,VIAL,2
EMPRESAS LIPIGAS S.A.,BRICENO,2
EMPRESAS LIPIGAS S.A.,NOGUERA,3
EMPRESAS LIPIGAS S.A.,SANTA CRUZ,2
EMPRESAS LIPIGAS S.A.,TAGLE,2
ENAEX S.A.,PAVEZ,2
ENEL GENERACION CHILE S.A.,CLARO,2
ENERGIA DE CASABLANCA S.A.,GARCIA,3
ENERGIA DE CASABLANCA S.A.,HURTADO,2
ENERGIA DE CASABLANCA S.A.,SEPULVEDA,2
ENERGIA DE CASABLANCA S.A.,TAPIA,2
ENERGIA DE CASABLANCA S.A.,VERGARA,2
ENERGIA LATINA S.A.,GARCIA,3
ENERGIA LATINA S.A.,GONZALEZ,2
ENGIE ENERGIA CHILE S.A.,PELLEGRINI,2
ENGIE ENERGIA CHILE S.A.,PRIETO,2
ENJOY S.A.,GONZALEZ,3
ENJOY S.A.,MARTINEZ,5
ENJOY S.A.,VIAL,2
ENLASA GENERACION CHILE S.A.,GARCIA,3
ENLASA GENERACION CHILE S.A.,GONZALEZ,2
ENVASES DEL PACIFICO S.A.,MUNOZ,3
ENVASES DEL PACIFICO S.A.,SOMAVIA,2
EQUITAS CAPITAL MANAGEMENT S.A.,CAREY,2
ESVAL S.A.,PURCELL,3
ETCHEGARAY S.A. CORREDORES DE BOLSA,ETCHEGARAY,2
EUROCAPITAL S.A.,ASTABURUAGA,2
EUROCAPITAL S.A.,LARRAIN,2
EUROCAPITAL S.A.,MORENO,2
FACTORING SECURITY S.A.,SILVA,2
FACTOTAL S.A.,COVARRUBIAS,3
FALABELLA S.A.,CUNEO,2
FALABELLA S.A.,DEL RIO,4
FALABELLA S.A.,GOUDIE,4
FALABELLA S.A.,SOLARI,6
FERIA DE OSORNO S.A.,CUBILLOS,2
FERIA DE OSORNO S.A.,DELANO,3
FERIA DE OSORNO S.A.,MENDEZ,2
FERROCARRIL DE ARICA A LA PAZ S.A.,DOMINGUEZ,2
FERROCARRIL DE ARICA A LA PAZ S.A.,PEREZ,2
FERROCARRIL DEL PACIFICO S.A.,IZQUIERDO,2
FERROCARRIL DEL PACIFICO S.A.,PAVEZ,2
FORESTAL CONSTRUCTORA Y COMERCIAL DEL PACIFICO SUR S.A.,BUSTOS,2
FORESTAL CONSTRUCTORA Y COMERCIAL DEL PACIFICO SUR S.A.,MATTE,2
FORUM SERVICIOS FINANCIEROS S.A.,MARTINEZ,2
FORUS S.A.,OPAZO,2
FORUS S.A.,SAAVEDRA,2
FORUS S.A.,SWETT,4
FRONTAL TRUST ADMINISTRADORA GENERAL DE FONDOS S.A.,ECHEVERRIA,2
FRONTAL TRUST ADMINISTRADORA GENERAL DE FONDOS S.A.,LARRAIN,2
FRUTICOLA VICONTO S.A.,GANA,4
FRUTICOLA VICONTO S.A.,GUILISASTI,3
FRUTICOLA VICONTO S.A.,LARRAIN,2
GOLF Y DEPORTES LOMAS DE LA DEHESA S.A.,LARRAIN,4
