Nombre_empresa,Apellido,conteo
AD RETAIL S.A.,ALVAREZ,1.0
AD RETAIL S.A.,GONZALEZ,1.0
AD RETAIL S.A.,GUERRERO,1.0
AD RETAIL S.A.,PONCE,1.0
AD RETAIL S.A.,SANCHEZ,1.0
AD RETAIL S.A.,SANTA CRUZ,3.0
AD RETAIL S.A.,SOLARI,1.0
AD RETAIL S.A.,TURNER,1.0
AD RETAIL S.A.,VERGARA,1.0
ADMINISTRADORA DE FONDOS DE PENSIONES CAPITAL S.A.,ACUNA,1.0
ADMINISTRADORA DE FONDOS DE PENSIONES CAPITAL S.A.,ANINAT,1.0
ADMINISTRADORA DE FONDOS DE PENSIONES CAPITAL S.A.,CAMPOS,1.0
ADMINISTRADORA DE FONDOS DE PENSIONES CAPITAL S.A.,CASTRO,1.0
ADMINISTRADORA DE FONDOS DE PENSIONES CAPITAL S.A.,CONCHA,1.0
ADMINISTRADORA DE FONDOS DE PENSIONES CAPITAL S.A.,ELUCHANS,1.0
ADMINISTRADORA DE FONDOS DE PENSIONES CAPITAL S.A.,ERRAZURIZ,1.0
ADMINISTRADORA DE FONDOS DE PENSIONES CAPITAL S.A.,GONZALEZ,1.0
ADMINISTRADORA DE FONDOS DE PENSIONES CAPITAL S.A.,RAMOS,1.0
ADMINISTRADORA DE FONDOS DE PENSIONES CAPITAL S.A.,ZAVALA,1.0
ADMINISTRADORA DE FONDOS DE PENSIONES CUPRUM S.A.,ALONSO,1.0
ADMINISTRADORA DE FONDOS DE PENSIONES CUPRUM S.A.,ANDUEZA,1.0
ADMINISTRADORA DE FONDOS DE PENSIONES CUPRUM S.A.,BALMACEDA,1.0
ADMINISTRADORA DE FONDOS DE PENSIONES CUPRUM S.A.,BARROS,1.0
ADMINISTRADORA DE FONDOS DE PENSIONES CUPRUM S.A.,GANA,1.0
ADMINISTRADORA DE FONDOS DE PENSIONES CUPRUM S.A.,GARRIDO,1.0
ADMINISTRADORA DE FONDOS DE PENSIONES CUPRUM S.A.,INFANTE,3.0
ADMINISTRADORA DE FONDOS DE PENSIONES CUPRUM S.A.,MONTES,1.0
