Nombre_empresa,Apellido,conteo
AD RETAIL S.A.,ALVAREZ,1
AD RETAIL S.A.,GONZALEZ,1
AD RETAIL S.A.,GUERRERO,1
AD RETAIL S.A.,PONCE,1
AD RETAIL S.A.,SANCHEZ,1
AD RETAIL S.A.,SANTA CRUZ,3
AD RETAIL S.A.,SOLARI,1
AD RETAIL S.A.,TURNER,1
AD RETAIL S.A.,VERGARA,1
ADMINISTRADORA DE FONDOS DE PENSIONES CAPITAL S.A.,ACUNA,1
ADMINISTRADORA DE FONDOS DE PENSIONES CAPITAL S.A.,ANINAT,1
ADMINISTRADORA DE FONDOS DE PENSIONES CAPITAL S.A.,CAMPOS,1
ADMINISTRADORA DE FONDOS DE PENSIONES CAPITAL S.A.,CASTRO,1
ADMINISTRADORA DE FONDOS DE PENSIONES CAPITAL S.A.,CONCHA,1
ADMINISTRADORA DE FONDOS DE PENSIONES CAPITAL S.A.,ELUCHANS,1
ADMINISTRADORA DE FONDOS DE PENSIONES CAPITAL S.A.,ERRAZURIZ,1
ADMINISTRADORA DE FONDOS DE PENSIONES CAPITAL S.A.,GONZALEZ,1
ADMINISTRADORA DE FONDOS DE PENSIONES CAPITAL S.A.,RAMOS,1
ADMINISTRADORA DE FONDOS DE PENSIONES CAPITAL S.A.,ZAVALA,1
ADMINISTRADORA DE FONDOS DE PENSIONES CUPRUM S.A.,ALONSO,1
ADMINISTRADORA DE FONDOS DE PENSIONES CUPRUM S.A.,ANDUEZA,1
ADMINISTRADORA DE FONDOS DE PENSIONES CUPRUM S.A.,BALMACEDA,1
ADMINISTRADORA DE FONDOS DE PENSIONES CUPRUM S.A.,BARROS,1
ADMINISTRADORA DE FONDOS DE PENSIONES CUPRUM S.A.,GANA,1
ADMINISTRADORA DE FONDOS DE PENSIONES CUPRUM S.A.,GARRIDO,1
ADMINISTRADORA DE FONDOS DE PENSIONES CUPRUM S.A.,INFANTE,3
ADMINISTRADORA DE FONDOS DE PENSIONES CUPRUM S.A.,MONTES,1
ADMINISTRADORA DE FONDOS DE PENSIONES CUPRUM S.A.,MUJICA,1
ADMINISTRADORA DE FONDOS DE PENSIONES CUPRUM S.A.,MUNOZ,1
ADMINISTRADORA DE FONDOS DE PENSIONES CUPRUM S.A.,PALMA,1
ADMINISTRADORA DE FONDOS DE PENSIONES CUPRUM S.A.,RIVERA,1
ADMINISTRADORA DE FONDOS DE PENSIONES CUPRUM S.A.,URZUA,1
ADMINISTRADORA DE FONDOS DE PENSIONES HABITAT S.A.,BARROS,2
ADMINISTRADORA DE FONDOS DE PENSIONES HABITAT S.A.,BENAVIDES,1
ADMINISTRADORA DE FONDOS DE PENSIONES HABITAT S.A.,BRAVO,1
ADMINISTRADORA DE FONDOS DE PENSIONES HABITAT S.A.,CASTRO,1
ADMINISTRADORA DE FONDOS DE PENSIONES HABITAT S.A.,CORREA,1
ADMINISTRADORA DE FONDOS DE PENSIONES HABITAT S.A.,CRUZAT,1
ADMINISTRADORA DE FONDOS DE PENSIONES HABITAT S.A.,ERRAZURIZ,1
ADMINISTRADORA DE FONDOS DE PENSIONES HABITAT S.A.,GARCIA,1
ADMINISTRADORA DE FONDOS DE PENSIONES HABITAT S.A.,GUZMAN,1
ADMINISTRADORA DE FONDOS DE PENSIONES HABITAT S.A.,HERRERA,1
ADMINISTRADORA DE FONDOS DE PENSIONES HABITAT S.A.,INFANTE,1
